sample_key	barcode	snp_vcf_path	snp_count	sv_vcf_path	sv_count
../../GREGoR_adaptive_sampling/37-39_Gregor_Trio|37-39_Gregor_Trio_barcode38	38	../../GREGoR_adaptive_sampling/37-39_Gregor_Trio/37-39_Gregor_Trio_barcode38.local.phased.vcf.gz	238961	../../GREGoR_adaptive_sampling/37-39_Gregor_Trio/37-39_Gregor_Trio_barcode38_global.germline.kanpig.genotyped.vcf.gz	2134
../../GREGoR_adaptive_sampling/37-39_Gregor_Trio|37-39_Gregor_Trio_barcode39	39	../../GREGoR_adaptive_sampling/37-39_Gregor_Trio/37-39_Gregor_Trio_barcode39.local.phased.vcf.gz	234772	../../GREGoR_adaptive_sampling/37-39_Gregor_Trio/37-39_Gregor_Trio_barcode39_global.germline.kanpig.genotyped.vcf.gz	2258
../../GREGoR_adaptive_sampling/40-42_Gregor_Trio|40-42_Gregor_Trio_barcode40	40	../../GREGoR_adaptive_sampling/40-42_Gregor_Trio/40-42_Gregor_Trio_barcode40.local.phased.vcf.gz	241074	../../GREGoR_adaptive_sampling/40-42_Gregor_Trio/40-42_Gregor_Trio_barcode40_global.germline.kanpig.genotyped.vcf.gz	2563
../../GREGoR_adaptive_sampling/40-42_Gregor_Trio|40-42_Gregor_Trio_barcode41	41	../../GREGoR_adaptive_sampling/40-42_Gregor_Trio/40-42_Gregor_Trio_barcode41.local.phased.vcf.gz	244781	../../GREGoR_adaptive_sampling/40-42_Gregor_Trio/40-42_Gregor_Trio_barcode41_global.germline.kanpig.genotyped.vcf.gz	2466
../../GREGoR_adaptive_sampling/40-42_Gregor_Trio|40-42_Gregor_Trio_barcode42	42	../../GREGoR_adaptive_sampling/40-42_Gregor_Trio/40-42_Gregor_Trio_barcode42.local.phased.vcf.gz	244621	../../GREGoR_adaptive_sampling/40-42_Gregor_Trio/40-42_Gregor_Trio_barcode42_global.germline.kanpig.genotyped.vcf.gz	2489
../../GREGoR_adaptive_sampling/43-45_Gregor_Trio|43-45_Gregor_Trio_barcode43	43	../../GREGoR_adaptive_sampling/43-45_Gregor_Trio/43-45_Gregor_Trio_barcode43.local.phased.vcf.gz	236323	../../GREGoR_adaptive_sampling/43-45_Gregor_Trio/43-45_Gregor_Trio_barcode43_global.germline.kanpig.genotyped.vcf.gz	2127
../../GREGoR_adaptive_sampling/43-45_Gregor_Trio|43-45_Gregor_Trio_barcode44	44	../../GREGoR_adaptive_sampling/43-45_Gregor_Trio/43-45_Gregor_Trio_barcode44.local.phased.vcf.gz	242601	../../GREGoR_adaptive_sampling/43-45_Gregor_Trio/43-45_Gregor_Trio_barcode44_global.germline.kanpig.genotyped.vcf.gz	2064
../../GREGoR_adaptive_sampling/43-45_Gregor_Trio|43-45_Gregor_Trio_barcode45	45	../../GREGoR_adaptive_sampling/43-45_Gregor_Trio/43-45_Gregor_Trio_barcode45.local.phased.vcf.gz	234343	../../GREGoR_adaptive_sampling/43-45_Gregor_Trio/43-45_Gregor_Trio_barcode45_global.germline.kanpig.genotyped.vcf.gz	2149
../../GREGoR_adaptive_sampling/4_6_Gregor_Trio|4_6_Gregor_Trio_barcode04	04	../../GREGoR_adaptive_sampling/4_6_Gregor_Trio/4_6_Gregor_Trio_barcode04.local.phased.vcf.gz	238146	../../GREGoR_adaptive_sampling/4_6_Gregor_Trio/4_6_Gregor_Trio_barcode04_global.germline.kanpig.genotyped.vcf.gz	2188
../../GREGoR_adaptive_sampling/4_6_Gregor_Trio|4_6_Gregor_Trio_barcode05	05	../../GREGoR_adaptive_sampling/4_6_Gregor_Trio/4_6_Gregor_Trio_barcode05.local.phased.vcf.gz	245362	../../GREGoR_adaptive_sampling/4_6_Gregor_Trio/4_6_Gregor_Trio_barcode05_global.germline.kanpig.genotyped.vcf.gz	2041
../../GREGoR_adaptive_sampling/4_6_Gregor_Trio|4_6_Gregor_Trio_barcode06	06	../../GREGoR_adaptive_sampling/4_6_Gregor_Trio/4_6_Gregor_Trio_barcode06.local.phased.vcf.gz	244027	../../GREGoR_adaptive_sampling/4_6_Gregor_Trio/4_6_Gregor_Trio_barcode06_global.germline.kanpig.genotyped.vcf.gz	2069
../../GREGoR_adaptive_sampling/4_6_HG002_Trio|4_6_HG002_Trio_barcode04	04	../../GREGoR_adaptive_sampling/4_6_HG002_Trio/4_6_HG002_Trio_barcode04.local.phased.vcf.gz	30144	../../GREGoR_adaptive_sampling/4_6_HG002_Trio/4_6_HG002_Trio_barcode04_global.germline.kanpig.genotyped.vcf.gz	943
../../GREGoR_adaptive_sampling/4_6_HG002_Trio|4_6_HG002_Trio_barcode05	05	../../GREGoR_adaptive_sampling/4_6_HG002_Trio/4_6_HG002_Trio_barcode05.local.phased.vcf.gz	29084	../../GREGoR_adaptive_sampling/4_6_HG002_Trio/4_6_HG002_Trio_barcode05_global.germline.kanpig.genotyped.vcf.gz	857
../../GREGoR_adaptive_sampling/4_6_HG002_Trio|4_6_HG002_Trio_barcode06	06	../../GREGoR_adaptive_sampling/4_6_HG002_Trio/4_6_HG002_Trio_barcode06.local.phased.vcf.gz	29432	../../GREGoR_adaptive_sampling/4_6_HG002_Trio/4_6_HG002_Trio_barcode06_global.germline.kanpig.genotyped.vcf.gz	882
../../GREGoR_adaptive_sampling/7_9_Gregor_Trio|7_9_Gregor_Trio_barcode07	07	../../GREGoR_adaptive_sampling/7_9_Gregor_Trio/7_9_Gregor_Trio_barcode07.local.phased.vcf.gz	308678	../../GREGoR_adaptive_sampling/7_9_Gregor_Trio/7_9_Gregor_Trio_barcode07_global.germline.kanpig.genotyped.vcf.gz	3072
../../GREGoR_adaptive_sampling/7_9_Gregor_Trio|7_9_Gregor_Trio_barcode08	08	../../GREGoR_adaptive_sampling/7_9_Gregor_Trio/7_9_Gregor_Trio_barcode08.local.phased.vcf.gz	313824	../../GREGoR_adaptive_sampling/7_9_Gregor_Trio/7_9_Gregor_Trio_barcode08_global.germline.kanpig.genotyped.vcf.gz	2912
../../GREGoR_adaptive_sampling/7_9_Gregor_Trio|7_9_Gregor_Trio_barcode09	09	../../GREGoR_adaptive_sampling/7_9_Gregor_Trio/7_9_Gregor_Trio_barcode09.local.phased.vcf.gz	310050	../../GREGoR_adaptive_sampling/7_9_Gregor_Trio/7_9_Gregor_Trio_barcode09_global.germline.kanpig.genotyped.vcf.gz	3227
